ZIP,Population,Proportion of Population,Energy Surplus per ZIP Code,EVs Supported by Surplus
10307,14096.0,0.004163869042537573,8486761.668441463,1414460.2780735772
12018,7930.0,0.002342471730088178,4774405.50728865,795734.2512147749
11370,39688.0,0.011723583609551022,23894906.150475655,3982484.358412609
14051,19533.0,0.005769924376268901,11760209.681446306,1960034.9469077177
10607,6824.0,0.0020157663412511636,4108517.42518761,684752.904197935
12051,7070.0,0.0020884331818062317,4256626.347607913,709437.724601319
10992,9621.0,0.0028419824104890744,5792503.831730656,965417.3052884428
12518,5870.0,0.001733960788854679,3534143.7992161885,589023.9665360315
12531,3601.0,0.0010637125725154514,2168049.7139655016,361341.61899425025
12188,10980.0,0.003243422395506708,6610715.317784284,1101785.8862973808
14009,5672.0,0.0016754728440176727,3414934.1787315537,569155.696455259
14569,6211.0,0.0018346900271850786,3739449.2567175035,623241.5427862506
11385,98592.0,0.029123451804899576,59359166.17586413,9893194.362644022
12749,300.0,8.86180982378882e-05,180620.6370979313,30103.439516321883
11769,9506.0,0.002808012139497884,5723265.920843116,953877.6534738527
12742,181.0,5.346625260352588e-05,108974.4510490852,18162.408508180866
13104,15567.0,0.0045983931175640185,9372404.859011654,1562067.4765019424
10509,19507.0,0.005762244141088283,11744555.892897816,1957425.9821496361
13041,10705.0,0.003162189138788644,6445146.400444514,1074191.0667407524
11763,28506.0,0.008420491694564136,17162572.93704543,2860428.822840905
11568,4555.0,0.0013455181249119358,2742423.3399369232,457070.5566561539
14437,11415.0,0.0033719186379516457,6872615.241576285,1145435.8735960475
14215,39999.0,0.011815451038057633,24082149.544267178,4013691.5907111964
12443,3825.0,0.0011298807525330745,2302913.1229986236,383818.85383310396
11756,42791.0,0.01264019013899158,25763125.606858592,4293854.267809765
12887,4972.0,0.0014686972814626003,2993486.0255030477,498914.3375838413
10512,25590.0,0.007559123779691863,15406940.344453538,2567823.3907422563
12442,953.0,0.0002815101587356915,573771.557181095,95628.59286351583
12430,1194.0,0.000352700030986795,718870.1356497664,119811.68927496107
12502,1164.0,0.0003438382211630062,700808.0719399734,116801.3453233289
12885,4602.0,0.001359401626969205,2770720.573082266,461786.7621803777
14422,2468.0,0.0007290315548370269,1485905.774525648,247650.96242094133
13480,3532.0,0.001043330409920737,2126506.9674329776,354417.8279054963
12776,2180.0,0.0006439581805286542,1312509.962911634,218751.66048527232
13214,8793.0,0.002597396459352503,5293990.8733403655,882331.8122233943
12457,763.0,0.00022538536318502896,459378.4870190718,76563.0811698453
10927,11910.0,0.0035181385000441615,7170639.292787872,1195106.5487979788
11553,26034.0,0.007690278565083937,15674258.887358475,2612376.4812264126
13029,7109.0,0.002099953534577157,4280107.030430645,713351.1717384408
11948,1123.0,0.0003317270810704948,676123.2515365893,112687.20858943155
11216,54316.0,0.01604460207963045,32701968.41537078,5450328.069228464
12406,823.0,0.0002431089828326066,495502.6144386581,82583.76907310968
12723,1826.0,0.0005393888246079462,1099377.611136075,183229.6018560125
13491,3641.0,0.0010755283189471697,2192132.4655785593,365355.4109297599
11935,3304.0,0.000975980655259942,1989235.2832385497,331539.2138730916
11233,67053.0,0.01980703113715039,40370518.59775862,6728419.766293104
11715,4752.0,0.001403710676088149,2861030.8916312316,476838.4819385386
11548,2780.0,0.0008211943770044306,1673751.2371074965,278958.5395179161
12090,6262.0,0.0018497551038855196,3770154.765024152,628359.1275040254
10918,11647.0,0.0034404499672556128,7012295.200932018,1168715.8668220032
11378,34981.0,0.010333165648198557,21060968.354409114,3510161.3924015188
11733,18949.0,0.005597414478365812,11408601.507895665,1901433.5846492776
12072,2890.0,0.0008536876796916563,1739978.8040434045,289996.46734056744
13501,38546.0,0.011386244048925461,23207343.591922864,3867890.5986538106
12979,2304.0,0.0006805869944669814,1387166.4929121123,231194.41548535204
14425,10717.0,0.0031657338627181595,6452371.225928432,1075395.2043214054
11221,78895.0,0.02330508286826063,47500217.212804295,7916702.868800716
14895,9616.0,0.00284050544218511,5789493.487779024,964915.581296504
12075,3418.0,0.0010096555325903396,2057871.125335764,342978.520889294
13790,19104.0,0.00564320049578872,11501922.170396263,1916987.0283993771
10465,42230.0,0.012474474295286728,25425365.015485458,4237560.835914243
11692,18540.0,0.00547659847110149,11162355.372652153,1860392.562108692
10603,17045.0,0.0050349849482160145,10262262.53111413,1710377.0885190216
12546,3039.0,0.0008977013351498074,1829687.053802044,304947.84230034065
12856,187.0,5.523861456828364e-05,112586.86379104383,18764.477298507303
12919,3037.0,0.0008971105478282215,1828482.916221391,304747.15270356514
11417,28967.0,0.008556668172189691,17440126.649385918,2906687.774897653
