,ID,Station Name,City,State,ZIP,County,latitude_station,longitude_station
2842,227076,Green Team Lighting LLC,Chittenango,NY,13037,Madison,43.0552,-75.8768
2843,191399,KMA PARKING LOT KMA PARKING LOT,Katonah,NY,10536,Westchester,41.2709,-73.6841
2844,207128,MATTHEW IMPORT STATION 1,Vestal,NY,13850,Broome,42.0771,-76.0118
2845,223279,Stablegate Farm & Vineyard,Castleton-On-Hudson,NY,12033,Rensselaer,42.5376,-73.7071
2846,235344,FC1225 2144 S#1,Rochester,NY,14623,Monroe,43.0834,-77.6344
2847,184441,BNL Chemistry- MPO,Upton,NY,11961,Suffolk,40.9018,-72.8881
2848,229085,Omega Institute for Holistic Studies,Rhinebeck,NY,12572,Dutchess,41.9272,-73.8888
2849,143920,HUDSON PRESERVE BERYL WAY 5,Watervliet,NY,12189,Albany,42.7298,-73.7123
2850,196458,RCP MAIN LOT 2,Wynantskill,NY,12198,Rensselaer,42.6878,-73.6383
2851,152213,500 Packetts Landing,Fairport,NY,14450,Monroe,43.0892,-77.436
2852,115235,Gideon Putnam Resort and Spa - Tesla Destination,Saratoga Springs,NY,12866,Saratoga,43.0708,-73.7408
2853,225127,515 River St,Troy,NY,12180,Rensselaer,42.7287,-73.6683
2854,169880,STATION 4TH FL MOTORGATE #1,New York,NY,10044,New York,40.7618,-73.9505
2855,223109,SUNY Schenectady - Center for Science and Technology,Schenectady,NY,12305,Schenectady,42.8161,-73.9398
2856,115127,GGMC Parking 415 E 79th - Tesla Destination,New York,NY,10075,New York,40.7143,-74.006
2857,155289,VASSAR COLLEGE SOUTH LOT 1,Arlington,NY,12603,Dutchess,41.6907,-73.8621
2858,190086,THE ELMS THE ELMS,Lake Luzerne,NY,12846,Warren,43.3165,-73.8228
2859,122473,iPark 34 N 7th Street - Tesla Destination,Brooklyn,NY,11249,Kings,40.6451,-73.945
2860,122699,69 COLLIER ST BINGHAMTON,Binghamton,NY,13901,Broome,42.1463,-75.8865
2861,203018,OMG EV CHARGER EVCHARGER2,Cooperstown,NY,13326,Otsego,42.7005,-74.9243
2862,223233,Wellington Manor Building 4380,Liverpool,NY,13090,Onondaga,43.1528,-76.2235
2863,162215,NATIONAL GRID HOLIDAY INN,Lake George,NY,12845,Warren,43.4167,-73.6975
2864,229414,RXR REALTY STATION 1,Uniondale,NY,11556,Nassau,40.7548,-73.6018
2865,150825,REIKART HOUSE JAZZBOLINE 1,Buffalo,NY,14226,Erie,42.9744,-78.7949
2866,189531,Rotterdam Mall,Schenectady,NY,12306,Schenectady,42.7904,-73.9809
