,YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours),Proportion of Energy in Year
80,1998,NY,Total Electric Power Industry,Total,1448632480,1.0
81,1998,NY,Total Electric Power Industry,Coal,252647800,0.17440434581447462
82,1998,NY,Total Electric Power Industry,Hydroelectric Conventional,293157780,0.20236863666069396
83,1998,NY,Total Electric Power Industry,Natural Gas,424715990,0.2931840862770107
84,1998,NY,Total Electric Power Industry,Nuclear,313137080,0.2161604715641886
85,1998,NY,Total Electric Power Industry,Other Biomass,21805460,0.015052444495790955
86,1998,NY,Total Electric Power Industry,Other Gases,883130,0.000609630125095635
87,1998,NY,Total Electric Power Industry,Petroleum,149007820,0.10286102379811338
88,1998,NY,Total Electric Power Industry,Pumped Storage,-11576810,-0.007991543859350718
89,1998,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,4854230,0.0033509051239828612
90,1999,NY,Total Electric Power Industry,Total,1462808660,1.0
91,1999,NY,Total Electric Power Industry,Coal,233659420,0.15973341311774844
92,1999,NY,Total Electric Power Industry,Hydroelectric Conventional,247523180,0.16921090691382698
93,1999,NY,Total Electric Power Industry,Natural Gas,459991880,0.314457996167455
94,1999,NY,Total Electric Power Industry,Nuclear,370185400,0.2530648130015856
95,1999,NY,Total Electric Power Industry,Other Biomass,22577280,0.01543419902914712
96,1999,NY,Total Electric Power Industry,Other Gases,1119540,0.000765335912080258
97,1999,NY,Total Electric Power Industry,Petroleum,133041920,0.09094963930552612
98,1999,NY,Total Electric Power Industry,Pumped Storage,-11090750,-0.007581818663829895
99,1999,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,5800790,0.003965515216460367
100,2000,NY,Total Electric Power Industry,Total,1380790750,1.0
101,2000,NY,Total Electric Power Industry,Coal,250095810,0.18112506185314467
102,2000,NY,Total Electric Power Industry,Hydroelectric Conventional,249095720,0.18040077397679555
103,2000,NY,Total Electric Power Industry,Natural Gas,397287090,0.28772432752754173
104,2000,NY,Total Electric Power Industry,Nuclear,315079880,0.2281880002455115
105,2000,NY,Total Electric Power Industry,Other Biomass,22316120,0.016161840597498207
106,2000,NY,Total Electric Power Industry,Other Gases,862010,0.0006242872064431196
107,2000,NY,Total Electric Power Industry,Petroleum,149451790,0.10823637832162476
108,2000,NY,Total Electric Power Industry,Pumped Storage,-9904370,-0.007172969546616676
109,2000,NY,Total Electric Power Industry,Wind,103450,7.492083793290185e-05
110,2000,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,6403250,0.004637378980124251
111,2001,NY,Total Electric Power Industry,Total,1439145590,1.0
112,2001,NY,Total Electric Power Industry,Coal,234319220,0.16281828720331207
113,2001,NY,Total Electric Power Industry,Hydroelectric Conventional,230839550,0.16040041508239622
114,2001,NY,Total Electric Power Industry,Natural Gas,386972150,0.26889020311002726
115,2001,NY,Total Electric Power Industry,Nuclear,403949850,0.28068727223074075
116,2001,NY,Total Electric Power Industry,Other,8093000,0.0056234755234180304
117,2001,NY,Total Electric Power Industry,Other Biomass,12778490,0.008879219787624128
118,2001,NY,Total Electric Power Industry,Other Gases,1145370,0.0007958680539055121
119,2001,NY,Total Electric Power Industry,Petroleum,165120930,0.1147353896279528
120,2001,NY,Total Electric Power Industry,Pumped Storage,-9305200,-0.006465780852651607
121,2001,NY,Total Electric Power Industry,Wind,205390,0.0001427166239657518
122,2001,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,5026840,0.003492933609309118
123,2002,NY,Total Electric Power Industry,Total,1395916880,1.0
124,2002,NY,Total Electric Power Industry,Coal,232391120,0.16647919609654696
125,2002,NY,Total Electric Power Industry,Hydroelectric Conventional,250478950,0.1794368658970583
126,2002,NY,Total Electric Power Industry,Natural Gas,384511920,0.2754547391102542
127,2002,NY,Total Electric Power Industry,Nuclear,396174910,0.2838098139482345
128,2002,NY,Total Electric Power Industry,Other,8154430,0.005841630054649099
129,2002,NY,Total Electric Power Industry,Other Biomass,13138240,0.009411907104382892
130,2002,NY,Total Electric Power Industry,Petroleum,115341100,0.08262748423817326
131,2002,NY,Total Electric Power Industry,Pumped Storage,-9212240,-0.00659941872756779
132,2002,NY,Total Electric Power Industry,Wind,816260,0.0005847482838663001
133,2002,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,4122180,0.0029530268306519796
134,2003,NY,Total Electric Power Industry,Total,1376433160,1.0
135,2003,NY,Total Electric Power Industry,Coal,235810670,0.17132010245960655
136,2003,NY,Total Electric Power Industry,Hydroelectric Conventional,242686600,0.17631557205436696
137,2003,NY,Total Electric Power Industry,Natural Gas,281563480,0.20456022724706807
138,2003,NY,Total Electric Power Industry,Nuclear,406792050,0.2955407220790874
139,2003,NY,Total Electric Power Industry,Other,8427420,0.006122651099164161
140,2003,NY,Total Electric Power Industry,Other Biomass,12827230,0.009319181179854748
141,2003,NY,Total Electric Power Industry,Petroleum,192916000,0.14015646063046025
142,2003,NY,Total Electric Power Industry,Pumped Storage,-9118060,-0.006624411751312355
143,2003,NY,Total Electric Power Industry,Wind,412010,0.00029933164353581834
144,2003,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,4115760,0.0029901633581684416
145,2004,NY,Total Electric Power Industry,Total,1379647940,1.0
146,2004,NY,Total Electric Power Industry,Coal,228527040,0.16564156215099338
147,2004,NY,Total Electric Power Industry,Hydroelectric Conventional,239896610,0.17388248338195614
148,2004,NY,Total Electric Power Industry,Natural Gas,272940450,0.19783340523815082
149,2004,NY,Total Electric Power Industry,Nuclear,406403050,0.29457011330006405
150,2004,NY,Total Electric Power Industry,Other,8843750,0.006410149824164562
151,2004,NY,Total Electric Power Industry,Other Biomass,12980970,0.00940890036047892
152,2004,NY,Total Electric Power Industry,Petroleum,212051980,0.1537000664096958
153,2004,NY,Total Electric Power Industry,Pumped Storage,-8131710,-0.005894047143650286
154,2004,NY,Total Electric Power Industry,Wind,1164500,0.0008440559118292163
155,2004,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,4971290,0.0036033033180914256
156,2005,NY,Total Electric Power Industry,Total,1468874190,1.0
157,2005,NY,Total Electric Power Industry,Coal,205976400,0.14022739415143512
158,2005,NY,Total Electric Power Industry,Hydroelectric Conventional,257825180,0.1755257065276639
159,2005,NY,Total Electric Power Industry,Natural Gas,318727010,0.21698727649370705
160,2005,NY,Total Electric Power Industry,Nuclear,424431520,0.28895021975980123
161,2005,NY,Total Electric Power Industry,Other,9709070,0.0066098717412959645
162,2005,NY,Total Electric Power Industry,Other Biomass,13577380,0.009243392042990422
163,2005,NY,Total Electric Power Industry,Petroleum,240127830,0.16347746569091803
164,2005,NY,Total Electric Power Industry,Pumped Storage,-7807310,-0.005315165895862055
165,2005,NY,Total Electric Power Industry,Wind,1029900,0.000701149225040165
166,2005,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,5277210,0.003592690263010204
167,2006,NY,Total Electric Power Industry,Total,1422654320,1.0
168,2006,NY,Total Electric Power Industry,Coal,209678400,0.14738534656823732
169,2006,NY,Total Electric Power Industry,Hydroelectric Conventional,273446550,0.1922087088590853
170,2006,NY,Total Electric Power Industry,Natural Gas,421338780,0.2961638495569324
171,2006,NY,Total Electric Power Industry,Nuclear,422238990,0.2967966174664271
172,2006,NY,Total Electric Power Industry,Other,9766360,0.00686488619385769
173,2006,NY,Total Electric Power Industry,Other Biomass,14194410,0.009977413206041508
174,2006,NY,Total Electric Power Industry,Petroleum,67780390,0.047643611696198976
175,2006,NY,Total Electric Power Industry,Pumped Storage,-7561560,-0.005315107045821222
176,2006,NY,Total Electric Power Industry,Wind,6553710,0.004606677748674745
177,2006,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,5218290,0.0036679957503661185
178,2007,NY,Total Electric Power Industry,Total,1458786870,1.0
179,2007,NY,Total Electric Power Industry,Coal,214055420,0.1467352252766026
180,2007,NY,Total Electric Power Industry,Hydroelectric Conventional,252525550,0.1731065416019271
181,2007,NY,Total Electric Power Industry,Natural Gas,456336310,0.31281904120784965
182,2007,NY,Total Electric Power Industry,Nuclear,424528540,0.29101477997262204
183,2007,NY,Total Electric Power Industry,Other,9322920,0.0063908718893254095
184,2007,NY,Total Electric Power Industry,Other Biomass,14493460,0.009935282732562572
185,2007,NY,Total Electric Power Industry,Petroleum,81951090,0.056177562113648584
186,2007,NY,Total Electric Power Industry,Pumped Storage,-7683800,-0.005267253330844691
187,2007,NY,Total Electric Power Industry,Wind,8334760,0.005713487125093195
188,2007,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,4922610,0.0033744545562025795
189,2008,NY,Total Electric Power Industry,Total,1403221000,1.0
190,2008,NY,Total Electric Power Industry,Coal,191541250,0.1365011284751297
191,2008,NY,Total Electric Power Industry,Hydroelectric Conventional,267231310,0.19044135599452972
192,2008,NY,Total Electric Power Industry,Natural Gas,438564600,0.3125413601991418
193,2008,NY,Total Electric Power Industry,Nuclear,432091710,0.30792848026077146
194,2008,NY,Total Electric Power Industry,Other,9873660,0.0070364254810895786
195,2008,NY,Total Electric Power Industry,Other Biomass,15128600,0.010781338078606293
196,2008,NY,Total Electric Power Industry,Petroleum,37453280,0.026690934642511766
197,2008,NY,Total Electric Power Industry,Pumped Storage,-6721390,-0.004789972498986261
198,2008,NY,Total Electric Power Industry,Wind,12507000,0.008913065012567514
199,2008,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,5550970,0.0039558772281771725
200,2009,NY,Total Electric Power Industry,Total,1331505500,1.0
201,2009,NY,Total Electric Power Industry,Coal,127588730,0.09582290873000525
202,2009,NY,Total Electric Power Industry,Hydroelectric Conventional,276151060,0.20739761120025416
203,2009,NY,Total Electric Power Industry,Natural Gas,417795970,0.31377712671859037
204,2009,NY,Total Electric Power Industry,Nuclear,434846140,0.3265823085221954
205,2009,NY,Total Electric Power Industry,Other,8774330,0.006589781266393567
206,2009,NY,Total Electric Power Industry,Other Biomass,16648160,0.012503260407110597
207,2009,NY,Total Electric Power Industry,Petroleum,26483060,0.01988956110207581
208,2009,NY,Total Electric Power Industry,Pumped Storage,-4803870,-0.0036078484091879456
209,2009,NY,Total Electric Power Industry,Wind,22663390,0.01702087599337742
210,2009,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,5358530,0.004024414469185444
211,2010,NY,Total Electric Power Industry,Total,1369616540,1.0
212,2010,NY,Total Electric Power Industry,Coal,135827660,0.09917203540780838
