,YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours),Proportion of Energy in Year
351,2021,NY,Total Electric Power Industry,Pumped Storage,-3815350,-0.0030536251829656
352,2021,NY,Total Electric Power Industry,Hydroelectric Conventional,287654770,0.2302252348204431
353,2021,NY,Total Electric Power Industry,Natural Gas,565127210,0.45230101564341124
354,2021,NY,Total Electric Power Industry,Nuclear,311765830,0.24952258368856647
355,2021,NY,Total Electric Power Industry,Other Gases,0,0.0
356,2021,NY,Total Electric Power Industry,Other,9626500,0.00770459402776111
357,2021,NY,Total Electric Power Industry,Petroleum,6904350,0.005525914275756757
358,2021,NY,Total Electric Power Industry,Solar Thermal and Photovoltaic,11589250,0.009275486037109067
359,2021,NY,Total Electric Power Industry,Other Biomass,14498890,0.011604223892709216
360,2021,NY,Total Electric Power Industry,Wind,41563690,0.03326560616482773
361,2021,NY,Total Electric Power Industry,Wood and Wood Derived Fuels,4534220,0.0036289746359066096
