city_id,ID,Station Name,City,ZIP,County,latitude,longitude,population_density,median_home_value,occupied_housing_units,median_household_income
2581,189507,Buffalo Club,Buffalo,14202,Erie County,42.887,-78.8779,4710.0,322200.0,1892.0,40525.0
2582,181004,APDC ADMIN LOT PORT 1.1,Albany,12202,Albany County,42.6413,-73.7641,4700.0,115300.0,4322.0,29214.0
2583,189537,The Daily Gazette,Schenectady,12308,Schenectady County,42.8179,-73.9206,6820.0,133200.0,5862.0,40598.0
2584,115232,Baron's Cove - Tesla Destination,Sag Harbor,11963,Suffolk County,40.982,-72.3067,491.0,809800.0,2860.0,85583.0
2585,227768,TPWC  TPCW 7,Altamont,12009,Albany County,42.7063,-74.0193,137.0,253900.0,2854.0,80750.0
2586,223138,The Heathcote Scarsdale,Scarsdale,10583,Westchester County,40.9927,-73.7995,3153.0,834300.0,13710.0,168571.0
2587,183120,NAT GRID WRKPLC SOC LOT2 STN 2,Syracuse,13202,Onondaga County,43.041,-76.1489,5451.0,67100.0,2292.0,14537.0
2588,114994,Icon Parking 101 West End Ave - Tesla Destination,New York,10023,New York County,40.7764,-73.9827,124357.0,872500.0,34383.0,103534.0
2589,223098,Hampton Motor Inn,Whitehall,12887,Washington County,43.5531,-73.3864,59.0,95300.0,1997.0,45098.0
2590,212036,1255 LOFTS 1 STATION,Rochester,14607,Monroe County,43.1501,-77.589,9636.0,174100.0,9647.0,40502.0
2591,63478,Niagara Falls International Airport,Niagara Falls,14304,Niagara County,43.0908,-78.9644,1370.0,86000.0,13419.0,47878.0
2592,228618,Putnam Plaza Shopping Center,Carmel,10512,Putnam County,41.4432,-73.6815,469.0,339600.0,9366.0,87802.0
2593,162331,STATION 1 SCRIBNERS,Hunter,12442,Greene County,42.2333,-74.2416,29.0,228700.0,477.0,36164.0
2594,223820,FLEISCHMANNS VILLAGE 1,Fleischmanns,12430,Delaware County,42.1772,-74.5473,30.0,190900.0,502.0,48333.0
2595,182190,BA PLAZA BA PLAZA 2,Albany,12211,Albany County,42.713,-73.7739,1425.0,275600.0,4379.0,95554.0
2596,171476,SKYVIEW APARTME SKYVIEW ST1,Riverdale,10471,Bronx County,40.9011,-73.9053,8878.0,360800.0,9305.0,71798.0
2597,193248,NOPPERS REPAIR NOPPERS EVSE1,Rensselaer,12144,Rensselaer County,42.6359,-73.7219,1086.0,168800.0,8947.0,63449.0
2598,123057,Sottery,Annadale-on- Hudson,12504,Dutchess County,42.0129,-73.9082,,,,
2599,115011,New York Hilton Midtown - Tesla Destination,New York,10019,New York County,40.7651,-73.9858,63042.0,808600.0,25905.0,84424.0
2600,231041,Lake Taghkanic State Park,Ancram,12502,Columbia County,42.0851,-73.6424,36.0,275000.0,485.0,64545.0
2601,123603,National Grid - Syracuse Office Center,Syracuse,13202,Onondaga County,43.041,-76.1489,5451.0,67100.0,2292.0,14537.0
2602,123417,TRICITYRENTALS 33 NEW SCOTLAND,Albany,12208,Albany County,42.656,-73.7964,4936.0,196600.0,9562.0,58825.0
2603,218663,Marriott Melville Long Island - Tesla Supercharger,Melville,11747,Suffolk County,40.7946,-73.403,1505.0,619300.0,7221.0,112699.0
